version,Name,God_Class,Lazy_Class,Complex_Class,Large_Class,Refused_Request,Data_Class,Feature_Envy,Brain_Class,Hub_Like_Dependency,Class_Cyclic_Dependency,Unhealthy_Inheritance_Hierarchy,Long_Method,Long_Parameter_List,Shotgun_Surgery,Brain_Method,Unstable_Dependency,Package_Cyclic_Dependency,Total,Distinct_Count,Vulnerability
6.0.0,android.media.AudioAttributes,0,0,1,1,0,1,0,0,0,0,0,8,13,0,0,0,0,24,5,
6.0.0,android.media.AudioAttributes.Builder,0,0,1,0,0,1,0,0,0,0,0,7,10,1,0,0,0,20,5,
6.0.0,android.media.MediaRecorder,0,0,0,1,0,1,1,0,0,0,1,11,14,3,0,0,0,32,7,
6.0.0,android.media.MediaRecorder.AudioSource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6.0.0,android.media.AudioSystem,0,0,1,1,0,1,1,0,0,0,0,8,8,1,0,0,0,21,7,
6.0.0,android.media.AudioManager,1,0,1,1,0,0,1,0,0,0,0,99,103,7,0,0,0,213,7,
6.0.0,android.content.res.ConfigurationBoundResourceCache,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,4,4,
6.0.0,android.content.res.ConfigurationBoundResourceCache.T,0,1,0,0,0,0,0,0,0,0,0,,,,,1,0,2,2,
6.0.0,android.content.res.ConstantState,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,4,4,
6.0.0,android.content.res.ThemedResourceCache,0,0,0,0,0,1,1,0,1,0,0,6,9,0,0,1,0,19,6,
6.0.0,android.content.res.Resources,0,0,1,1,0,0,1,0,0,0,1,60,73,22,0,1,0,160,8,
6.0.0,android.content.res.Resources.Theme,0,0,0,1,0,1,0,0,0,0,0,8,14,3,0,1,0,28,6,
6.0.0,android.content.res.Configuration,0,0,1,1,0,0,0,0,0,0,0,17,25,7,0,1,0,52,6,
6.0.0,com.android.mediaframeworktest.functional.audio.MediaBassBoostTest,0,0,0,0,0,1,1,0,0,0,0,5,4,0,0,0,0,11,4,
6.0.0,com.android.mediaframeworktest.MediaFrameworkTest,0,0,0,0,0,1,1,0,1,0,0,2,1,0,0,1,0,7,6,
6.0.0,com.android.mediaframeworktest.MediaNames,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,1,1,
6.0.0,com.android.mediaframeworktest.functional.EnergyProbe,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,7,3,
6.0.0,android.content.res.AssetFileDescriptor,0,0,0,1,0,1,0,0,0,0,1,6,13,2,0,1,0,25,7,
6.0.0,android.media.audiofx.AudioEffect,0,0,0,1,0,0,1,0,0,0,0,22,37,12,0,0,0,73,5,
6.0.0,android.media.audiofx.BassBoost,0,0,0,0,0,1,1,0,1,0,0,4,7,0,0,0,0,14,5,
6.0.0,android.media.audiofx.Visualizer,0,0,0,1,0,1,1,0,1,0,0,17,17,0,0,0,0,38,6,
6.0.0,android.media.MediaPlayer,0,0,0,1,0,0,1,0,1,1,0,43,59,11,0,0,0,117,7,
6.0.0,android.test.ActivityInstrumentationTestCase2,0,0,0,0,0,1,0,0,0,0,0,3,6,5,0,1,0,16,5,
6.0.0,android.media.audiofx.BassBoost.Settings,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,4,3,
6.0.0,Root,0,0,1,0,0,0,1,0,1,0,0,4,4,0,0,0,0,11,5,
6.0.0,Proc,0,0,0,0,0,0,1,0,0,1,0,4,6,0,0,0,0,12,4,
6.0.0,LoadedClass,0,0,0,0,0,0,1,0,0,0,0,5,8,0,0,0,0,14,3,
6.0.0,MemoryUsage,0,0,0,1,0,0,0,0,0,0,0,7,11,0,0,0,0,19,3,
6.0.0,Operation,0,0,0,0,0,0,0,0,0,1,0,6,5,0,0,0,0,12,3,
6.0.0,Record,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,5,2,
6.0.0,android.bluetooth.BluetoothAssignedNumbers,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
6.0.0,android.net.util.IpUtilsTest,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,6,2,
6.0.0,android.net.util.IpUtils,0,0,0,0,0,1,0,0,0,0,0,4,10,0,0,0,0,15,3,
6.0.0,android.webkit.URLUtil,0,0,1,1,0,0,0,0,0,0,0,10,11,0,0,0,0,23,4,
6.0.0,android.net.Uri,0,0,1,1,0,0,0,0,0,0,1,15,42,15,0,1,0,76,7,2
6.0.0,android.net.ParseException,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,3,
6.0.0,android.net.WebAddress,0,0,1,0,0,1,0,0,0,0,0,2,4,0,0,1,0,9,5,
6.0.0,android.webkit.MimeTypeMap,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,7,3,
6.0.0,com.android.tools.layoutlib.create.Log,0,0,0,0,0,1,0,0,0,0,0,2,6,0,0,0,0,9,3,
6.0.0,com.android.mediaframeworktest.power.MediaPlayerPowerTest,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,4,4,
6.0.0,android.os.Environment,0,0,0,1,0,0,1,0,0,0,0,9,27,4,0,0,1,43,6,
6.0.0,com.android.test.hwuicompare.MainView,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,5,3,
6.0.0,android.graphics.Canvas,0,0,0,1,0,0,1,0,0,0,0,28,94,21,0,1,0,146,6,
6.0.0,android.graphics.Paint,0,0,0,1,0,0,1,0,0,0,0,40,66,11,0,1,0,120,6,
6.0.0,com.android.test.hwuicompare.DisplayModifier,0,0,0,1,0,1,1,0,0,0,0,7,6,0,0,0,0,16,5,
6.0.0,com.android.tools.layoutlib.create.ReplaceMethodCallsAdapter,0,0,0,0,0,1,1,0,0,1,0,1,3,0,0,0,0,7,5,
6.0.0,com.android.tools.layoutlib.create.ReplaceMethodCallsAdapter.MethodInformation,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,
6.0.0,com.android.tools.layoutlib.create.ReplaceMethodCallsAdapter.MyMethodVisitor,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,4,3,
6.0.0,com.android.tools.layoutlib.java.LinkedHashMap_Delegate,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
6.0.0,com.android.tools.layoutlib.java.System_Delegate,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
6.0.0,com.android.test.hwui.ProjectionClippingActivity,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,
6.0.0,android.graphics.RectF,0,0,0,1,0,0,0,0,0,0,0,19,35,5,0,1,0,61,5,
